surface_form,match_kind,canonical_display_name,canonical_name,concept_id,entity_type,stakeholder_role,parent_display_name,org_level,industry_code,match_mode,is_active
Hiệp hội các quốc gia Đông Nam Á (ASEAN),canonical,ASEAN,Hiệp hội các quốc gia Đông Nam Á (ASEAN),oilgas:geo:hiep_hoi_cac_quoc_gia_ong_nam_a_asean,geo,PARTNER,,geo,ENERGY,contains,TRUE
ASEAN,official,ASEAN,Hiệp hội các quốc gia Đông Nam Á (ASEAN),oilgas:geo:hiep_hoi_cac_quoc_gia_ong_nam_a_asean,geo,PARTNER,,geo,ENERGY,contains,TRUE
HiệphộicácquốcgiaĐôngNamÁ(ASEAN),typo,ASEAN,Hiệp hội các quốc gia Đông Nam Á (ASEAN),oilgas:geo:hiep_hoi_cac_quoc_gia_ong_nam_a_asean,geo,PARTNER,,geo,ENERGY,contains,TRUE
asean,typo,ASEAN,Hiệp hội các quốc gia Đông Nam Á (ASEAN),oilgas:geo:hiep_hoi_cac_quoc_gia_ong_nam_a_asean,geo,PARTNER,,geo,ENERGY,contains,TRUE
hiep hoi cac quoc gia đong nam a (asean),typo,ASEAN,Hiệp hội các quốc gia Đông Nam Á (ASEAN),oilgas:geo:hiep_hoi_cac_quoc_gia_ong_nam_a_asean,geo,PARTNER,,geo,ENERGY,contains,TRUE
Lô 433a-416a Algeria,canonical,Algeria,Lô 433a-416a Algeria,oilgas:geo:lo_433a_416a_algeria,geo,PARTNER,,geo,ENERGY,contains,TRUE
Algeria,official,Algeria,Lô 433a-416a Algeria,oilgas:geo:lo_433a_416a_algeria,geo,PARTNER,,geo,ENERGY,contains,TRUE
Lô433a-416aAlgeria,typo,Algeria,Lô 433a-416a Algeria,oilgas:geo:lo_433a_416a_algeria,geo,PARTNER,,geo,ENERGY,contains,TRUE
algeria,typo,Algeria,Lô 433a-416a Algeria,oilgas:geo:lo_433a_416a_algeria,geo,PARTNER,,geo,ENERGY,contains,TRUE
lo 433a-416a algeria,typo,Algeria,Lô 433a-416a Algeria,oilgas:geo:lo_433a_416a_algeria,geo,PARTNER,,geo,ENERGY,contains,TRUE
Biển Đông,canonical,Biển Đông,Biển Đông,oilgas:geo:bien_ong,geo,PARTNER,,geo,ENERGY,contains,TRUE
BiểnĐông,typo,Biển Đông,Biển Đông,oilgas:geo:bien_ong,geo,PARTNER,,geo,ENERGY,contains,TRUE
bien đong,typo,Biển Đông,Biển Đông,oilgas:geo:bien_ong,geo,PARTNER,,geo,ENERGY,contains,TRUE
Brunei,canonical,Brunei,Brunei,oilgas:geo:brunei,geo,PARTNER,,geo,ENERGY,contains,TRUE
brunei,typo,Brunei,Brunei,oilgas:geo:brunei,geo,PARTNER,,geo,ENERGY,contains,TRUE
Tỉnh Bà Rịa - Vũng Tàu,canonical,Bà Rịa - Vũng Tàu,Tỉnh Bà Rịa - Vũng Tàu,oilgas:geo:tinh_ba_ria_vung_tau,geo,PARTNER,,geo,ENERGY,contains,TRUE
Bà Rịa - Vũng Tàu,official,Bà Rịa - Vũng Tàu,Tỉnh Bà Rịa - Vũng Tàu,oilgas:geo:tinh_ba_ria_vung_tau,geo,PARTNER,,geo,ENERGY,contains,TRUE
BàRịa-VũngTàu,typo,Bà Rịa - Vũng Tàu,Tỉnh Bà Rịa - Vũng Tàu,oilgas:geo:tinh_ba_ria_vung_tau,geo,PARTNER,,geo,ENERGY,contains,TRUE
TỉnhBàRịa-VũngTàu,typo,Bà Rịa - Vũng Tàu,Tỉnh Bà Rịa - Vũng Tàu,oilgas:geo:tinh_ba_ria_vung_tau,geo,PARTNER,,geo,ENERGY,contains,TRUE
ba ria - vung tau,typo,Bà Rịa - Vũng Tàu,Tỉnh Bà Rịa - Vũng Tàu,oilgas:geo:tinh_ba_ria_vung_tau,geo,PARTNER,,geo,ENERGY,contains,TRUE
tinh ba ria - vung tau,typo,Bà Rịa - Vũng Tàu,Tỉnh Bà Rịa - Vũng Tàu,oilgas:geo:tinh_ba_ria_vung_tau,geo,PARTNER,,geo,ENERGY,contains,TRUE
Tỉnh Bình Dương,canonical,Bình Dương,Tỉnh Bình Dương,oilgas:geo:tinh_binh_duong,geo,PARTNER,,geo,ENERGY,contains,TRUE
Bình Dương,official,Bình Dương,Tỉnh Bình Dương,oilgas:geo:tinh_binh_duong,geo,PARTNER,,geo,ENERGY,contains,TRUE
BìnhDương,typo,Bình Dương,Tỉnh Bình Dương,oilgas:geo:tinh_binh_duong,geo,PARTNER,,geo,ENERGY,contains,TRUE
TỉnhBìnhDương,typo,Bình Dương,Tỉnh Bình Dương,oilgas:geo:tinh_binh_duong,geo,PARTNER,,geo,ENERGY,contains,TRUE
binh duong,typo,Bình Dương,Tỉnh Bình Dương,oilgas:geo:tinh_binh_duong,geo,PARTNER,,geo,ENERGY,contains,TRUE
tinh binh duong,typo,Bình Dương,Tỉnh Bình Dương,oilgas:geo:tinh_binh_duong,geo,PARTNER,,geo,ENERGY,contains,TRUE
Tỉnh Bình Phước (NMNLSH Bình Phước),canonical,Bình Phước,Tỉnh Bình Phước (NMNLSH Bình Phước),oilgas:geo:tinh_binh_phuoc_nmnlsh_binh_phuoc,geo,PARTNER,,geo,ENERGY,contains,TRUE
Bình Phước,official,Bình Phước,Tỉnh Bình Phước (NMNLSH Bình Phước),oilgas:geo:tinh_binh_phuoc_nmnlsh_binh_phuoc,geo,PARTNER,,geo,ENERGY,contains,TRUE
BìnhPhước,typo,Bình Phước,Tỉnh Bình Phước (NMNLSH Bình Phước),oilgas:geo:tinh_binh_phuoc_nmnlsh_binh_phuoc,geo,PARTNER,,geo,ENERGY,contains,TRUE
TỉnhBìnhPhước(NMNLSHBìnhPhước),typo,Bình Phước,Tỉnh Bình Phước (NMNLSH Bình Phước),oilgas:geo:tinh_binh_phuoc_nmnlsh_binh_phuoc,geo,PARTNER,,geo,ENERGY,contains,TRUE
binh phuoc,typo,Bình Phước,Tỉnh Bình Phước (NMNLSH Bình Phước),oilgas:geo:tinh_binh_phuoc_nmnlsh_binh_phuoc,geo,PARTNER,,geo,ENERGY,contains,TRUE
tinh binh phuoc (nmnlsh binh phuoc),typo,Bình Phước,Tỉnh Bình Phước (NMNLSH Bình Phước),oilgas:geo:tinh_binh_phuoc_nmnlsh_binh_phuoc,geo,PARTNER,,geo,ENERGY,contains,TRUE
Campuchia,canonical,Campuchia,Campuchia,oilgas:geo:campuchia,geo,PARTNER,,geo,ENERGY,contains,TRUE
campuchia,typo,Campuchia,Campuchia,oilgas:geo:campuchia,geo,PARTNER,,geo,ENERGY,contains,TRUE
Tỉnh Cà Mau (Đạm Cà Mau),canonical,Cà Mau,Tỉnh Cà Mau (Đạm Cà Mau),oilgas:geo:tinh_ca_mau_am_ca_mau,geo,PARTNER,,geo,ENERGY,contains,TRUE
Cà Mau,official,Cà Mau,Tỉnh Cà Mau (Đạm Cà Mau),oilgas:geo:tinh_ca_mau_am_ca_mau,geo,PARTNER,,geo,ENERGY,contains,TRUE
CàMau,typo,Cà Mau,Tỉnh Cà Mau (Đạm Cà Mau),oilgas:geo:tinh_ca_mau_am_ca_mau,geo,PARTNER,,geo,ENERGY,contains,TRUE
TỉnhCàMau(ĐạmCàMau),typo,Cà Mau,Tỉnh Cà Mau (Đạm Cà Mau),oilgas:geo:tinh_ca_mau_am_ca_mau,geo,PARTNER,,geo,ENERGY,contains,TRUE
ca mau,typo,Cà Mau,Tỉnh Cà Mau (Đạm Cà Mau),oilgas:geo:tinh_ca_mau_am_ca_mau,geo,PARTNER,,geo,ENERGY,contains,TRUE
