surface_form,match_kind,canonical_display_name,canonical_name,concept_id,entity_type,stakeholder_role,parent_display_name,org_level,industry_code,match_mode,is_active
Bộ Chính trị,official,Bộ Chính trị,Bộ Chính trị,oilgas:ent:bo_chinh_tri,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
BộChínhtrị,typo,Bộ Chính trị,Bộ Chính trị,oilgas:ent:bo_chinh_tri,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
bo chinh tri,typo,Bộ Chính trị,Bộ Chính trị,oilgas:ent:bo_chinh_tri,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
Bộ Công Thương,official,Bộ Công Thương,Bộ Công Thương,oilgas:ent:bo_cong_thuong,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
BCT,abbrev,Bộ Công Thương,Bộ Công Thương,oilgas:ent:bo_cong_thuong,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
MOIT,abbrev,Bộ Công Thương,Bộ Công Thương,oilgas:ent:bo_cong_thuong,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
bo cong thuong,slang,Bộ Công Thương,Bộ Công Thương,oilgas:ent:bo_cong_thuong,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
BộCôngThương,typo,Bộ Công Thương,Bộ Công Thương,oilgas:ent:bo_cong_thuong,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
Bộ Công an,official,Bộ Công an,Bộ Công an,oilgas:ent:bo_cong_an,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
BộCôngan,typo,Bộ Công an,Bộ Công an,oilgas:ent:bo_cong_an,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
bo cong an,typo,Bộ Công an,Bộ Công an,oilgas:ent:bo_cong_an,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
Bộ Kế hoạch và Đầu tư,official,Bộ Kế hoạch và Đầu tư,Bộ Kế hoạch và Đầu tư,oilgas:ent:bo_ke_hoach_va_au_tu,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
BKHĐT,abbrev,Bộ Kế hoạch và Đầu tư,Bộ Kế hoạch và Đầu tư,oilgas:ent:bo_ke_hoach_va_au_tu,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
MPI,abbrev,Bộ Kế hoạch và Đầu tư,Bộ Kế hoạch và Đầu tư,oilgas:ent:bo_ke_hoach_va_au_tu,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
Bo KH&ĐT,slang,Bộ Kế hoạch và Đầu tư,Bộ Kế hoạch và Đầu tư,oilgas:ent:bo_ke_hoach_va_au_tu,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
BộKếhoạchvàĐầutư,typo,Bộ Kế hoạch và Đầu tư,Bộ Kế hoạch và Đầu tư,oilgas:ent:bo_ke_hoach_va_au_tu,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
bo ke hoach va đau tu,typo,Bộ Kế hoạch và Đầu tư,Bộ Kế hoạch và Đầu tư,oilgas:ent:bo_ke_hoach_va_au_tu,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
Bộ Ngoại giao,official,Bộ Ngoại giao,Bộ Ngoại giao,oilgas:ent:bo_ngoai_giao,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
BộNgoạigiao,typo,Bộ Ngoại giao,Bộ Ngoại giao,oilgas:ent:bo_ngoai_giao,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
bo ngoai giao,typo,Bộ Ngoại giao,Bộ Ngoại giao,oilgas:ent:bo_ngoai_giao,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
Bộ Quốc phòng,official,Bộ Quốc phòng,Bộ Quốc phòng,oilgas:ent:bo_quoc_phong,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
BộQuốcphòng,typo,Bộ Quốc phòng,Bộ Quốc phòng,oilgas:ent:bo_quoc_phong,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
bo quoc phong,typo,Bộ Quốc phòng,Bộ Quốc phòng,oilgas:ent:bo_quoc_phong,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
Bộ Tài chính,official,Bộ Tài chính,Bộ Tài chính,oilgas:ent:bo_tai_chinh,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
BTC,abbrev,Bộ Tài chính,Bộ Tài chính,oilgas:ent:bo_tai_chinh,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
BộTàichính,typo,Bộ Tài chính,Bộ Tài chính,oilgas:ent:bo_tai_chinh,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
bo tai chinh,typo,Bộ Tài chính,Bộ Tài chính,oilgas:ent:bo_tai_chinh,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
Chính phủ nước CHXHCN Việt Nam,canonical,Chính phủ,Chính phủ nước CHXHCN Việt Nam,oilgas:ent:chinh_phu,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
Chính phủ,official,Chính phủ,Chính phủ nước CHXHCN Việt Nam,oilgas:ent:chinh_phu,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
Chínhphủ,typo,Chính phủ,Chính phủ nước CHXHCN Việt Nam,oilgas:ent:chinh_phu,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
ChínhphủnướcCHXHCNViệtNam,typo,Chính phủ,Chính phủ nước CHXHCN Việt Nam,oilgas:ent:chinh_phu,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
chinh phu,typo,Chính phủ,Chính phủ nước CHXHCN Việt Nam,oilgas:ent:chinh_phu,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
chinh phu nuoc chxhcn viet nam,typo,Chính phủ,Chính phủ nước CHXHCN Việt Nam,oilgas:ent:chinh_phu,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
Ngân hàng Nhà nước Việt Nam,canonical,NHNN,Ngân hàng Nhà nước Việt Nam,oilgas:ent:ngan_hang_nha_nuoc_viet_nam,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
NHNN,official,NHNN,Ngân hàng Nhà nước Việt Nam,oilgas:ent:ngan_hang_nha_nuoc_viet_nam,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
NgânhàngNhànướcViệtNam,typo,NHNN,Ngân hàng Nhà nước Việt Nam,oilgas:ent:ngan_hang_nha_nuoc_viet_nam,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
ngan hang nha nuoc viet nam,typo,NHNN,Ngân hàng Nhà nước Việt Nam,oilgas:ent:ngan_hang_nha_nuoc_viet_nam,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
Quốc hội nước CHXHCN Việt Nam,canonical,Quốc hội,Quốc hội nước CHXHCN Việt Nam,oilgas:ent:quoc_hoi_nuoc_chxhcn_viet_nam,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
Quốc hội,official,Quốc hội,Quốc hội nước CHXHCN Việt Nam,oilgas:ent:quoc_hoi_nuoc_chxhcn_viet_nam,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
Quốchội,typo,Quốc hội,Quốc hội nước CHXHCN Việt Nam,oilgas:ent:quoc_hoi_nuoc_chxhcn_viet_nam,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
QuốchộinướcCHXHCNViệtNam,typo,Quốc hội,Quốc hội nước CHXHCN Việt Nam,oilgas:ent:quoc_hoi_nuoc_chxhcn_viet_nam,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
quoc hoi,typo,Quốc hội,Quốc hội nước CHXHCN Việt Nam,oilgas:ent:quoc_hoi_nuoc_chxhcn_viet_nam,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
quoc hoi nuoc chxhcn viet nam,typo,Quốc hội,Quốc hội nước CHXHCN Việt Nam,oilgas:ent:quoc_hoi_nuoc_chxhcn_viet_nam,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
Thủ tướng Chính phủ nước CHXHCN Việt Nam,canonical,Thủ tướng Chính phủ,Thủ tướng Chính phủ nước CHXHCN Việt Nam,oilgas:ent:thu_tuong_chinh_phu,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
Thủ tướng Chính phủ,official,Thủ tướng Chính phủ,Thủ tướng Chính phủ nước CHXHCN Việt Nam,oilgas:ent:thu_tuong_chinh_phu,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
ThủtướngChínhphủ,typo,Thủ tướng Chính phủ,Thủ tướng Chính phủ nước CHXHCN Việt Nam,oilgas:ent:thu_tuong_chinh_phu,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
ThủtướngChínhphủnướcCHXHCNViệtNam,typo,Thủ tướng Chính phủ,Thủ tướng Chính phủ nước CHXHCN Việt Nam,oilgas:ent:thu_tuong_chinh_phu,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
thu tuong chinh phu,typo,Thủ tướng Chính phủ,Thủ tướng Chính phủ nước CHXHCN Việt Nam,oilgas:ent:thu_tuong_chinh_phu,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
thu tuong chinh phu nuoc chxhcn viet nam,typo,Thủ tướng Chính phủ,Thủ tướng Chính phủ nước CHXHCN Việt Nam,oilgas:ent:thu_tuong_chinh_phu,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
Ủy ban Quản lý vốn Nhà nước tại doanh nghiệp,canonical,UBQLV,Ủy ban Quản lý vốn Nhà nước tại doanh nghiệp,oilgas:ent:uy_ban_quan_ly_von_nha_nuoc,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
UBQLV,official,UBQLV,Ủy ban Quản lý vốn Nhà nước tại doanh nghiệp,oilgas:ent:uy_ban_quan_ly_von_nha_nuoc,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
UBQLVNN,abbrev,UBQLV,Ủy ban Quản lý vốn Nhà nước tại doanh nghiệp,oilgas:ent:uy_ban_quan_ly_von_nha_nuoc,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
Uy ban QLVNN,slang,UBQLV,Ủy ban Quản lý vốn Nhà nước tại doanh nghiệp,oilgas:ent:uy_ban_quan_ly_von_nha_nuoc,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
Uy ban quan ly von,slang,UBQLV,Ủy ban Quản lý vốn Nhà nước tại doanh nghiệp,oilgas:ent:uy_ban_quan_ly_von_nha_nuoc,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
uy ban quan ly von nha nuoc tai doanh nghiep,typo,UBQLV,Ủy ban Quản lý vốn Nhà nước tại doanh nghiệp,oilgas:ent:uy_ban_quan_ly_von_nha_nuoc,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
ỦybanQuảnlývốnNhànướctạidoanhnghiệp,typo,UBQLV,Ủy ban Quản lý vốn Nhà nước tại doanh nghiệp,oilgas:ent:uy_ban_quan_ly_von_nha_nuoc,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
Đảng Cộng sản Việt Nam,canonical,Đảng,Đảng Cộng sản Việt Nam,oilgas:ent:ang_cong_san_viet_nam,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
Đảng,official,Đảng,Đảng Cộng sản Việt Nam,oilgas:ent:ang_cong_san_viet_nam,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
ĐảngCộngsảnViệtNam,typo,Đảng,Đảng Cộng sản Việt Nam,oilgas:ent:ang_cong_san_viet_nam,organization,REGULATOR,,regulator,ENERGY,contains,TRUE
