surface_form,match_kind,canonical_display_name,canonical_name,concept_id,entity_type,stakeholder_role,parent_display_name,org_level,industry_code,match_mode,is_active
Công ty TNHH MTV Lọc-Hóa Dầu Bình Sơn,canonical,BSR,Công ty TNHH MTV Lọc-Hóa Dầu Bình Sơn,oilgas:ent:bsr,organization,SUBSIDIARY,PVN,subsidiary,ENERGY,contains,TRUE
BSR,official,BSR,Công ty TNHH MTV Lọc-Hóa Dầu Bình Sơn,oilgas:ent:bsr,organization,SUBSIDIARY,PVN,subsidiary,ENERGY,contains,TRUE
Binh Son,slang,BSR,Công ty TNHH MTV Lọc-Hóa Dầu Bình Sơn,oilgas:ent:bsr,organization,SUBSIDIARY,PVN,subsidiary,ENERGY,contains,TRUE
Bình Sơn refinery,slang,BSR,Công ty TNHH MTV Lọc-Hóa Dầu Bình Sơn,oilgas:ent:bsr,organization,SUBSIDIARY,PVN,subsidiary,ENERGY,contains,TRUE
NMLD Binh Son,slang,BSR,Công ty TNHH MTV Lọc-Hóa Dầu Bình Sơn,oilgas:ent:bsr,organization,SUBSIDIARY,PVN,subsidiary,ENERGY,contains,TRUE
loc hoa dau Binh Son,slang,BSR,Công ty TNHH MTV Lọc-Hóa Dầu Bình Sơn,oilgas:ent:bsr,organization,SUBSIDIARY,PVN,subsidiary,ENERGY,contains,TRUE
CôngtyTNHHMTVLọc-HóaDầuBìnhSơn,typo,BSR,Công ty TNHH MTV Lọc-Hóa Dầu Bình Sơn,oilgas:ent:bsr,organization,SUBSIDIARY,PVN,subsidiary,ENERGY,contains,TRUE
cong ty tnhh mtv loc-hoa dau binh son,typo,BSR,Công ty TNHH MTV Lọc-Hóa Dầu Bình Sơn,oilgas:ent:bsr,organization,SUBSIDIARY,PVN,subsidiary,ENERGY,contains,TRUE
Công ty CP Nhiên liệu sinh học Dầu khí Miền Trung,canonical,BSR-BF,Công ty CP Nhiên liệu sinh học Dầu khí Miền Trung,oilgas:ent:cong_ty_cp_nhien_lieu_sinh_hoc_dau_khi_mien_trung,organization,PARTNER,,partner,ENERGY,contains,TRUE
BSR-BF,official,BSR-BF,Công ty CP Nhiên liệu sinh học Dầu khí Miền Trung,oilgas:ent:cong_ty_cp_nhien_lieu_sinh_hoc_dau_khi_mien_trung,organization,PARTNER,,partner,ENERGY,contains,TRUE
CôngtyCPNhiênliệusinhhọcDầukhíMiềnTrung,typo,BSR-BF,Công ty CP Nhiên liệu sinh học Dầu khí Miền Trung,oilgas:ent:cong_ty_cp_nhien_lieu_sinh_hoc_dau_khi_mien_trung,organization,PARTNER,,partner,ENERGY,contains,TRUE
bsr-bf,typo,BSR-BF,Công ty CP Nhiên liệu sinh học Dầu khí Miền Trung,oilgas:ent:cong_ty_cp_nhien_lieu_sinh_hoc_dau_khi_mien_trung,organization,PARTNER,,partner,ENERGY,contains,TRUE
cong ty cp nhien lieu sinh hoc dau khi mien trung,typo,BSR-BF,Công ty CP Nhiên liệu sinh học Dầu khí Miền Trung,oilgas:ent:cong_ty_cp_nhien_lieu_sinh_hoc_dau_khi_mien_trung,organization,PARTNER,,partner,ENERGY,contains,TRUE
Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quất,canonical,DQS,Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quất,oilgas:ent:dqs,organization,SUBSIDIARY,,subsidiary,ENERGY,contains,TRUE
DQS,official,DQS,Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quất,oilgas:ent:dqs,organization,SUBSIDIARY,,subsidiary,ENERGY,contains,TRUE
CôngtyTNHHMTVCôngnghiệpTàuthủyDungQuất,typo,DQS,Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quất,oilgas:ent:dqs,organization,SUBSIDIARY,,subsidiary,ENERGY,contains,TRUE
cong ty tnhh mtv cong nghiep tau thuy dung quat,typo,DQS,Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quất,oilgas:ent:dqs,organization,SUBSIDIARY,,subsidiary,ENERGY,contains,TRUE
Tập đoàn Điện lực Việt Nam,canonical,EVN,Tập đoàn Điện lực Việt Nam,oilgas:ent:evn,organization,PARTNER,,partner,ENERGY,contains,TRUE
EVN,official,EVN,Tập đoàn Điện lực Việt Nam,oilgas:ent:evn,organization,PARTNER,,partner,ENERGY,contains,TRUE
dien luc viet nam,slang,EVN,Tập đoàn Điện lực Việt Nam,oilgas:ent:evn,organization,PARTNER,,partner,ENERGY,contains,TRUE
tap doan dien luc,slang,EVN,Tập đoàn Điện lực Việt Nam,oilgas:ent:evn,organization,PARTNER,,partner,ENERGY,contains,TRUE
TậpđoànĐiệnlựcViệtNam,typo,EVN,Tập đoàn Điện lực Việt Nam,oilgas:ent:evn,organization,PARTNER,,partner,ENERGY,contains,TRUE
tap đoan đien luc viet nam,typo,EVN,Tập đoàn Điện lực Việt Nam,oilgas:ent:evn,organization,PARTNER,,partner,ENERGY,contains,TRUE
Công ty TNHH Gazpromviet,canonical,Gazpromviet,Công ty TNHH Gazpromviet,oilgas:ent:cong_ty_tnhh_gazpromviet,organization,PARTNER,,partner,ENERGY,contains,TRUE
Gazpromviet,official,Gazpromviet,Công ty TNHH Gazpromviet,oilgas:ent:cong_ty_tnhh_gazpromviet,organization,PARTNER,,partner,ENERGY,contains,TRUE
CôngtyTNHHGazpromviet,typo,Gazpromviet,Công ty TNHH Gazpromviet,oilgas:ent:cong_ty_tnhh_gazpromviet,organization,PARTNER,,partner,ENERGY,contains,TRUE
cong ty tnhh gazpromviet,typo,Gazpromviet,Công ty TNHH Gazpromviet,oilgas:ent:cong_ty_tnhh_gazpromviet,organization,PARTNER,,partner,ENERGY,contains,TRUE
gazpromviet,typo,Gazpromviet,Công ty TNHH Gazpromviet,oilgas:ent:cong_ty_tnhh_gazpromviet,organization,PARTNER,,partner,ENERGY,contains,TRUE
Công ty TNHH Lọc hóa dầu Nghi Sơn,canonical,NSRP,Công ty TNHH Lọc hóa dầu Nghi Sơn,oilgas:ent:nsrp,organization,SUBSIDIARY,PVN,subsidiary,ENERGY,contains,TRUE
NSRP,official,NSRP,Công ty TNHH Lọc hóa dầu Nghi Sơn,oilgas:ent:nsrp,organization,SUBSIDIARY,PVN,subsidiary,ENERGY,contains,TRUE
LH Nghi Son,slang,NSRP,Công ty TNHH Lọc hóa dầu Nghi Sơn,oilgas:ent:nsrp,organization,SUBSIDIARY,PVN,subsidiary,ENERGY,contains,TRUE
Nghi Son Refinery,slang,NSRP,Công ty TNHH Lọc hóa dầu Nghi Sơn,oilgas:ent:nsrp,organization,SUBSIDIARY,PVN,subsidiary,ENERGY,contains,TRUE
lien doanh Nghi Son,slang,NSRP,Công ty TNHH Lọc hóa dầu Nghi Sơn,oilgas:ent:nsrp,organization,SUBSIDIARY,PVN,subsidiary,ENERGY,contains,TRUE
CôngtyTNHHLọchóadầuNghiSơn,typo,NSRP,Công ty TNHH Lọc hóa dầu Nghi Sơn,oilgas:ent:nsrp,organization,SUBSIDIARY,PVN,subsidiary,ENERGY,contains,TRUE
cong ty tnhh loc hoa dau nghi son,typo,NSRP,Công ty TNHH Lọc hóa dầu Nghi Sơn,oilgas:ent:nsrp,organization,SUBSIDIARY,PVN,subsidiary,ENERGY,contains,TRUE
Công ty TNHH Nhiên liệu sinh học Dầu khí Phương Đông,canonical,OBF,Công ty TNHH Nhiên liệu sinh học Dầu khí Phương Đông,oilgas:ent:cong_ty_tnhh_nhien_lieu_sinh_hoc_dau_khi_phuong_ong,organization,PARTNER,,partner,ENERGY,contains,TRUE
OBF,official,OBF,Công ty TNHH Nhiên liệu sinh học Dầu khí Phương Đông,oilgas:ent:cong_ty_tnhh_nhien_lieu_sinh_hoc_dau_khi_phuong_ong,organization,PARTNER,,partner,ENERGY,contains,TRUE
CôngtyTNHHNhiênliệusinhhọcDầukhíPhươngĐông,typo,OBF,Công ty TNHH Nhiên liệu sinh học Dầu khí Phương Đông,oilgas:ent:cong_ty_tnhh_nhien_lieu_sinh_hoc_dau_khi_phuong_ong,organization,PARTNER,,partner,ENERGY,contains,TRUE
cong ty tnhh nhien lieu sinh hoc dau khi phuong đong,typo,OBF,Công ty TNHH Nhiên liệu sinh học Dầu khí Phương Đông,oilgas:ent:cong_ty_tnhh_nhien_lieu_sinh_hoc_dau_khi_phuong_ong,organization,PARTNER,,partner,ENERGY,contains,TRUE
