surface_form,match_kind,canonical_display_name,canonical_name,concept_id,entity_type,stakeholder_role,parent_display_name,org_level,industry_code,match_mode,is_active
Ngành dầu khí Việt Nam,canonical,Dầu khí,Ngành dầu khí Việt Nam,oilgas:ind:dau_khi,industry_sector,PARTNER,,sector,ENERGY,contains,TRUE
Dầu khí,official,Dầu khí,Ngành dầu khí Việt Nam,oilgas:ind:dau_khi,industry_sector,PARTNER,,sector,ENERGY,contains,TRUE
ngành dầu khí,variant,Dầu khí,Ngành dầu khí Việt Nam,oilgas:ind:dau_khi,industry_sector,PARTNER,,sector,ENERGY,contains,TRUE
industry oil gas,variant,Dầu khí,Ngành dầu khí Việt Nam,oilgas:ind:dau_khi,industry_sector,PARTNER,,sector,ENERGY,contains,TRUE
ngành năng lượng,variant,Dầu khí,Ngành dầu khí Việt Nam,oilgas:ind:dau_khi,industry_sector,PARTNER,,sector,ENERGY,contains,TRUE
lĩnh vực dầu khí,variant,Dầu khí,Ngành dầu khí Việt Nam,oilgas:ind:dau_khi,industry_sector,PARTNER,,sector,ENERGY,contains,TRUE
oil and gas,variant,Dầu khí,Ngành dầu khí Việt Nam,oilgas:ind:dau_khi,industry_sector,PARTNER,,sector,ENERGY,contains,TRUE
O&G,variant,Dầu khí,Ngành dầu khí Việt Nam,oilgas:ind:dau_khi,industry_sector,PARTNER,,sector,ENERGY,contains,TRUE
hydrocarbon,variant,Dầu khí,Ngành dầu khí Việt Nam,oilgas:ind:dau_khi,industry_sector,PARTNER,,sector,ENERGY,contains,TRUE
petroleum industry,variant,Dầu khí,Ngành dầu khí Việt Nam,oilgas:ind:dau_khi,industry_sector,PARTNER,,sector,ENERGY,contains,TRUE
energy sector,variant,Dầu khí,Ngành dầu khí Việt Nam,oilgas:ind:dau_khi,industry_sector,PARTNER,,sector,ENERGY,contains,TRUE
sector dầu khí,variant,Dầu khí,Ngành dầu khí Việt Nam,oilgas:ind:dau_khi,industry_sector,PARTNER,,sector,ENERGY,contains,TRUE
