surface_form,match_kind,canonical_display_name,canonical_name,concept_id,entity_type,stakeholder_role,parent_display_name,org_level,industry_code,match_mode,is_active
Ông Lê Ngọc Sơn - Chủ tịch HĐTV PVN,canonical,Lê Ngọc Sơn,Ông Lê Ngọc Sơn - Chủ tịch HĐTV PVN,oilgas:person:le_ngoc_son,person,PARTNER,PVN,person,ENERGY,contains,TRUE
Lê Ngọc Sơn,official,Lê Ngọc Sơn,Ông Lê Ngọc Sơn - Chủ tịch HĐTV PVN,oilgas:person:le_ngoc_son,person,PARTNER,PVN,person,ENERGY,contains,TRUE
ÔngLêNgọcSơn-ChủtịchHĐTVPVN,typo,Lê Ngọc Sơn,Ông Lê Ngọc Sơn - Chủ tịch HĐTV PVN,oilgas:person:le_ngoc_son,person,PARTNER,PVN,person,ENERGY,contains,TRUE
ong le ngoc son - chu tich hđtv pvn,typo,Lê Ngọc Sơn,Ông Lê Ngọc Sơn - Chủ tịch HĐTV PVN,oilgas:person:le_ngoc_son,person,PARTNER,PVN,person,ENERGY,contains,TRUE
LêNgọcSơn,typo,Lê Ngọc Sơn,Ông Lê Ngọc Sơn - Chủ tịch HĐTV PVN,oilgas:person:le_ngoc_son,person,PARTNER,PVN,person,ENERGY,contains,TRUE
le ngoc son,typo,Lê Ngọc Sơn,Ông Lê Ngọc Sơn - Chủ tịch HĐTV PVN,oilgas:person:le_ngoc_son,person,PARTNER,PVN,person,ENERGY,contains,TRUE
ong le ngoc son,typo,Lê Ngọc Sơn,Ông Lê Ngọc Sơn - Chủ tịch HĐTV PVN,oilgas:person:le_ngoc_son,person,PARTNER,PVN,person,ENERGY,contains,TRUE
Ông Lê Mạnh Cường - Tổng Giám đốc PVN,canonical,Lê Mạnh Cường,Ông Lê Mạnh Cường - Tổng Giám đốc PVN,oilgas:person:le_manh_cuong,person,PARTNER,PVN,person,ENERGY,contains,TRUE
Lê Mạnh Cường,official,Lê Mạnh Cường,Ông Lê Mạnh Cường - Tổng Giám đốc PVN,oilgas:person:le_manh_cuong,person,PARTNER,PVN,person,ENERGY,contains,TRUE
ÔngLêMạnhCường-TổngGiámđốcPVN,typo,Lê Mạnh Cường,Ông Lê Mạnh Cường - Tổng Giám đốc PVN,oilgas:person:le_manh_cuong,person,PARTNER,PVN,person,ENERGY,contains,TRUE
ong le manh cuong - tong giam đoc pvn,typo,Lê Mạnh Cường,Ông Lê Mạnh Cường - Tổng Giám đốc PVN,oilgas:person:le_manh_cuong,person,PARTNER,PVN,person,ENERGY,contains,TRUE
LêMạnhCường,typo,Lê Mạnh Cường,Ông Lê Mạnh Cường - Tổng Giám đốc PVN,oilgas:person:le_manh_cuong,person,PARTNER,PVN,person,ENERGY,contains,TRUE
le manh cuong,typo,Lê Mạnh Cường,Ông Lê Mạnh Cường - Tổng Giám đốc PVN,oilgas:person:le_manh_cuong,person,PARTNER,PVN,person,ENERGY,contains,TRUE
ong le manh cuong,typo,Lê Mạnh Cường,Ông Lê Mạnh Cường - Tổng Giám đốc PVN,oilgas:person:le_manh_cuong,person,PARTNER,PVN,person,ENERGY,contains,TRUE
