surface_form,match_kind,canonical_display_name,canonical_name,concept_id,entity_type,stakeholder_role,parent_display_name,org_level,industry_code,match_mode,is_active
Sản phẩm hóa dầu Benzen,canonical,Benzen,Sản phẩm hóa dầu Benzen,oilgas:prod:san_pham_hoa_dau_benzen,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
Benzen,official,Benzen,Sản phẩm hóa dầu Benzen,oilgas:prod:san_pham_hoa_dau_benzen,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
SảnphẩmhóadầuBenzen,typo,Benzen,Sản phẩm hóa dầu Benzen,oilgas:prod:san_pham_hoa_dau_benzen,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
benzen,typo,Benzen,Sản phẩm hóa dầu Benzen,oilgas:prod:san_pham_hoa_dau_benzen,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
san pham hoa dau benzen,typo,Benzen,Sản phẩm hóa dầu Benzen,oilgas:prod:san_pham_hoa_dau_benzen,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
Khí thiên nhiên nén (CNG),canonical,CNG,Khí thiên nhiên nén (CNG),oilgas:prod:khi_thien_nhien_nen_cng,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
CNG,official,CNG,Khí thiên nhiên nén (CNG),oilgas:prod:khi_thien_nhien_nen_cng,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
Khíthiênnhiênnén(CNG),typo,CNG,Khí thiên nhiên nén (CNG),oilgas:prod:khi_thien_nhien_nen_cng,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
cng,typo,CNG,Khí thiên nhiên nén (CNG),oilgas:prod:khi_thien_nhien_nen_cng,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
khi thien nhien nen (cng),typo,CNG,Khí thiên nhiên nén (CNG),oilgas:prod:khi_thien_nhien_nen_cng,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
Condensate,canonical,Condensate,Condensate,oilgas:prod:condensate,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
condensate,typo,Condensate,Condensate,oilgas:prod:condensate,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
Dầu thô,canonical,Dầu thô,Dầu thô,oilgas:prod:dau_tho,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
Dầuthô,typo,Dầu thô,Dầu thô,oilgas:prod:dau_tho,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
dau tho,typo,Dầu thô,Dầu thô,oilgas:prod:dau_tho,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
Khí thiên nhiên,canonical,Khí,Khí thiên nhiên,oilgas:prod:khi_thien_nhien,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
Khí,official,Khí,Khí thiên nhiên,oilgas:prod:khi_thien_nhien,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
Khíthiênnhiên,typo,Khí,Khí thiên nhiên,oilgas:prod:khi_thien_nhien,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
khi,typo,Khí,Khí thiên nhiên,oilgas:prod:khi_thien_nhien,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
khi thien nhien,typo,Khí,Khí thiên nhiên,oilgas:prod:khi_thien_nhien,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
Khí dầu mỏ hóa lỏng (LPG),canonical,LPG,Khí dầu mỏ hóa lỏng (LPG),oilgas:prod:khi_dau_mo_hoa_long_lpg,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
LPG,official,LPG,Khí dầu mỏ hóa lỏng (LPG),oilgas:prod:khi_dau_mo_hoa_long_lpg,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
Khídầumỏhóalỏng(LPG),typo,LPG,Khí dầu mỏ hóa lỏng (LPG),oilgas:prod:khi_dau_mo_hoa_long_lpg,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
khi dau mo hoa long (lpg),typo,LPG,Khí dầu mỏ hóa lỏng (LPG),oilgas:prod:khi_dau_mo_hoa_long_lpg,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
lpg,typo,LPG,Khí dầu mỏ hóa lỏng (LPG),oilgas:prod:khi_dau_mo_hoa_long_lpg,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
Phân bón NPK,canonical,NPK,Phân bón NPK,oilgas:prod:phan_bon_npk,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
NPK,official,NPK,Phân bón NPK,oilgas:prod:phan_bon_npk,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
PhânbónNPK,typo,NPK,Phân bón NPK,oilgas:prod:phan_bon_npk,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
npk,typo,NPK,Phân bón NPK,oilgas:prod:phan_bon_npk,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
phan bon npk,typo,NPK,Phân bón NPK,oilgas:prod:phan_bon_npk,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
Naphtha (nguyên liệu hóa dầu),canonical,Naphtha,Naphtha (nguyên liệu hóa dầu),oilgas:prod:naphtha_nguyen_lieu_hoa_dau,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
Naphtha,official,Naphtha,Naphtha (nguyên liệu hóa dầu),oilgas:prod:naphtha_nguyen_lieu_hoa_dau,commodity,PARTNER,,commodity,ENERGY,contains,TRUE
